source,run,level,n,prevalence,accuracy,balanced_accuracy,macro_f1,mcc,auroc,auprc,brier,calibration_slope,calibration_intercept,ece
E1,depresjon.logreg.subject_wise,window,440,0.41818181818181815,0.5886363636363636,0.5853430706521738,0.5830344661490374,0.1687781774794786,0.6308169157608696,0.48558930706724207,0.25937825401175346,0.33957522037354027,-0.28401476958581723,0.2012535504215871
E1,depresjon.logreg.subject_wise,subject,55,0.41818181818181815,0.5818181818181818,0.5733695652173914,0.5727794663964876,0.14594807814673855,0.6372282608695652,0.5104986596191171,0.2562745236004533,0.3630899054954424,-0.279090406453464,0.2367459967531605
E1,depresjon.rf.subject_wise,window,440,0.41818181818181815,0.6659090909090909,0.6502207880434783,0.6516568917325061,0.30538617094357734,0.6805366847826088,0.5299332495779483,0.2333169764091896,0.4283231099332214,0.014417810301947123,0.14250577484478685
E1,depresjon.rf.subject_wise,subject,55,0.41818181818181815,0.6909090909090909,0.6793478260869565,0.6803418803418804,0.36115755925730764,0.6902173913043479,0.5610282331143768,0.22949780315078022,0.47225616004260873,0.014122043660131676,0.13661895144148312
E1,depresjon.xgboost.subject_wise,window,440,0.41818181818181815,0.6431818181818182,0.6306895380434783,0.6312960679764517,0.2629270115613376,0.6549337635869564,0.5171461699823916,0.27893013669173966,0.19866492138342864,0.12377145833539903,0.1992474931883364
E1,depresjon.xgboost.subject_wise,subject,55,0.41818181818181815,0.6909090909090909,0.6793478260869565,0.6803418803418804,0.36115755925730764,0.6657608695652173,0.536429485658184,0.2689780117793656,0.22536690966606845,0.11456357381787678,0.2721027399787
E1,hyperaktiv.logreg.subject_wise,window,340,0.5176470588235295,0.6647058823529411,0.664079822616408,0.6641364250805865,0.3283189294717576,0.6906180709534367,0.6353807750514449,0.23235550806152078,0.4024268715778392,0.05176990658999409,0.11885433221160716
E1,hyperaktiv.logreg.subject_wise,subject,85,0.5176470588235295,0.6705882352941176,0.6701773835920177,0.6701773835920177,0.34035476718403546,0.7073170731707317,0.648086175354004,0.2245935012633212,0.4504064028664253,0.04957887598780555,0.15872866207451156
E1,hyperaktiv.rf.subject_wise,window,340,0.5176470588235295,0.5558823529411765,0.5537694013303769,0.5530638716473262,0.10830129179397632,0.5853312084257206,0.5477436985722628,0.26274948384377994,0.29532160932549595,-0.03160942511891065,0.18142771764470653
E1,hyperaktiv.rf.subject_wise,subject,85,0.5176470588235295,0.5882352941176471,0.5864745011086474,0.5861733203505355,0.17381834085304995,0.5920177383592018,0.5541698203175606,0.2591133354172361,0.32127194575073204,-0.031048638113869167,0.13270400682809425
E1,hyperaktiv.xgboost.subject_wise,window,340,0.5176470588235295,0.5617647058823529,0.5594512195121951,0.5585531418015145,0.11993106751048076,0.5846383037694013,0.5523461628226172,0.3043646733754084,0.14469542840237679,-0.15445783769073268,0.22609259070923526
E1,hyperaktiv.xgboost.subject_wise,subject,85,0.5176470588235295,0.5882352941176471,0.5864745011086474,0.5861733203505355,0.17381834085304995,0.5925720620842572,0.5626114393647738,0.2950925803897198,0.1687415349084314,-0.14531706464209435,0.21554459150217647
E1,psykose.logreg.subject_wise,window,432,0.4074074074074074,0.6481481481481481,0.6560724431818181,0.6459550973752884,0.306864328394025,0.6986194957386364,0.631251404910125,0.23765101874862868,0.3662998973014618,-0.4058237520177134,0.15920595308656074
E1,psykose.logreg.subject_wise,subject,54,0.4074074074074074,0.6481481481481481,0.6534090909090908,0.6451054998270495,0.30151134457776363,0.703125,0.6673918045197778,0.23051638148155232,0.41870363995845944,-0.38845634067535734,0.18085870240723823
E1,psykose.rf.subject_wise,window,432,0.4074074074074074,0.7384259259259259,0.7180397727272727,0.7220029726820768,0.4493661962100779,0.7427423650568181,0.7266792643825184,0.19628816115455028,0.6299482083747353,-0.06091486114015013,0.09953161080055256
E1,psykose.rf.subject_wise,subject,54,0.4074074074074074,0.7407407407407407,0.7173295454545454,0.7220588235294118,0.45305152225567213,0.7528409090909091,0.7423638267555379,0.1911832357440526,0.6951803862371345,-0.05905149717516582,0.11813353486836076
E1,psykose.xgboost.subject_wise,window,432,0.4074074074074074,0.7037037037037037,0.6851917613636364,0.6876285165518021,0.37785410925051477,0.7222789417613638,0.6621132723743876,0.22659316590767542,0.29734217988969003,0.09863918340894999,0.15383982964368983
E1,psykose.xgboost.subject_wise,subject,54,0.4074074074074074,0.7222222222222222,0.7088068181818181,0.7101967799642219,0.4209149813057303,0.7357954545454546,0.688884660040914,0.2153727592312949,0.3430824339504506,0.08939208005753362,0.12205907991311575
E1_cnn,depresjon.cnn1d.subject_wise,window,440,0.41818181818181815,0.5727272727272728,0.554093070652174,0.5540700808625336,0.11009591361402567,0.58642578125,0.5002855300555195,0.26749080916318535,0.11908320042475132,-0.07701241503759382,0.14071890647954444
E1_cnn,depresjon.cnn1d.subject_wise,subject,55,0.41818181818181815,0.5636363636363636,0.5394021739130435,0.5378151260504201,0.08174496938858504,0.59375,0.5432278543961474,0.2647586910350492,0.19458443895916747,-0.0759369295906184,0.17616529467883227
E1_cnn,hyperaktiv.cnn1d.subject_wise,window,340,0.5176470588235295,0.5176470588235295,0.5185005543237251,0.5176303678327969,0.03701906848351321,0.5226233370288248,0.5572357591641861,0.3456309003511541,0.013170638334516843,0.31241994440275367,0.2600286999344397
E1_cnn,hyperaktiv.cnn1d.subject_wise,subject,85,0.5176470588235295,0.5411764705882353,0.5418514412416852,0.5411764705882353,0.0837028824833703,0.5338137472283814,0.5765175214268166,0.34321623122105116,0.018999538188266944,0.3070882898511952,0.2741380505575161
E1_cnn,psykose.cnn1d.subject_wise,window,432,0.4074074074074074,0.5300925925925926,0.544921875,0.5298885511651469,0.08921334975669981,0.5608797940340908,0.46343652898037135,0.33987757758229686,0.05969353519630722,-1.0347155683920535,0.26585395164656306
E1_cnn,psykose.cnn1d.subject_wise,subject,54,0.4074074074074074,0.5555555555555556,0.5681818181818181,0.554945054945055,0.13483997249264842,0.5710227272727273,0.5194818533779115,0.3367542402554548,0.07014107647963626,-1.0078639506697613,0.2909304248659219
E2,depresjon-to-hyperaktiv.logreg.external,window,340,0.5176470588235295,0.6147058823529412,0.6139135254988913,0.6139544962080173,0.22800485415341568,0.6286377494456763,0.6335486508134471,0.2645978593782412,0.29870553868678434,0.2558323754485393,0.15745982812944473
E2,depresjon-to-hyperaktiv.logreg.external,subject,85,0.5176470588235295,0.611764705882353,0.6108647450110865,0.61090303786933,0.22197571940400895,0.630820399113082,0.640188453762075,0.26175807127598816,0.3161541001627028,0.25167798206632264,0.1919640775426772
E2,depresjon-to-hyperaktiv.rf.external,window,340,0.5176470588235295,0.6147058823529412,0.6193181818181819,0.610088329787886,0.24650357281951504,0.6525429600886917,0.6327160418793325,0.26048368305851144,0.40731718812017603,0.6024842357018573,0.16345493088234123
E2,depresjon-to-hyperaktiv.rf.external,subject,85,0.5176470588235295,0.611764705882353,0.6166851441241685,0.6063157894736843,0.24226244859230456,0.656319290465632,0.654836974327993,0.25478931168627317,0.45377800556636955,0.5839831858548219,0.12735972743032295
E2,depresjon-to-hyperaktiv.xgboost.external,window,340,0.5176470588235295,0.6058823529411764,0.6093403547671841,0.6035640945320386,0.2225222816406277,0.6427730044345897,0.6200668858015872,0.30511496275440503,0.18340063960825154,0.8669566072822799,0.2588254494088823
E2,depresjon-to-hyperaktiv.xgboost.external,subject,85,0.5176470588235295,0.5882352941176471,0.5914634146341464,0.5861733203505355,0.1857276864637143,0.6491130820399114,0.6433219412677706,0.2906520962613109,0.20867934077172803,0.7701608390172123,0.23812255017005884
E2,depresjon-to-psykose.logreg.external,window,304,0.5789473684210527,0.7006578947368421,0.6807528409090908,0.6833876967095851,0.3753662818475932,0.77099609375,0.7827729909558948,0.2037981801096051,0.48633169773611856,-0.09332663928645503,0.12708900961814984
E2,depresjon-to-psykose.logreg.external,subject,38,0.5789473684210527,0.7105263157894737,0.6903409090909092,0.6933235509904623,0.39617930531268536,0.7698863636363636,0.8154874307213877,0.19729797957806725,0.5716291072362898,-0.08875634627990975,0.12634818383919075
E2,depresjon-to-psykose.rf.external,window,304,0.5789473684210527,0.618421052631579,0.5873579545454546,0.5835222978080121,0.19020658987520891,0.6599343039772727,0.734231284582515,0.24323681933294156,0.39920822509864623,-0.42454545404653227,0.1645820488969235
E2,depresjon-to-psykose.rf.external,subject,38,0.5789473684210527,0.6052631578947368,0.5823863636363636,0.5818048422597212,0.17148059483683395,0.6534090909090909,0.7465788929530186,0.2380628978868291,0.46520095041082055,-0.4097682490201725,0.22818289467742525
E2,depresjon-to-psykose.xgboost.external,window,304,0.5789473684210527,0.625,0.5919744318181819,0.5871926815323042,0.20309884076098836,0.6633522727272727,0.6937578060114775,0.2975186946717116,0.1914890123712862,-1.4074642701777806,0.27221784361013157
E2,depresjon-to-psykose.xgboost.external,subject,38,0.5789473684210527,0.5789473684210527,0.5511363636363636,0.5476190476190476,0.1086310236566852,0.6931818181818181,0.7651818542124732,0.28127019585213275,0.24581159365654986,-1.1916315459153353,0.29288542410973684
E2,depresjon.logreg.internal,window,440,0.41818181818181815,0.5886363636363636,0.5853430706521738,0.5830344661490374,0.1687781774794786,0.6308169157608696,0.48558930706724207,0.25937825401175346,0.33957522037354027,-0.28401476958581723,0.2012535504215871
E2,depresjon.logreg.internal,subject,55,0.41818181818181815,0.5818181818181818,0.5733695652173914,0.5727794663964876,0.14594807814673855,0.6372282608695652,0.5104986596191171,0.2562745236004533,0.3630899054954424,-0.279090406453464,0.2367459967531605
E2,depresjon.rf.internal,window,440,0.41818181818181815,0.6659090909090909,0.6502207880434783,0.6516568917325061,0.30538617094357734,0.6805366847826088,0.5299332495779483,0.2333169764091896,0.4283231099332215,0.014417810301947123,0.14250577484478685
E2,depresjon.rf.internal,subject,55,0.41818181818181815,0.6909090909090909,0.6793478260869565,0.6803418803418804,0.36115755925730764,0.6902173913043479,0.5610282331143768,0.22949780315078022,0.4722561600426087,0.014122043660131617,0.13661895144148317
E2,depresjon.xgboost.internal,window,440,0.41818181818181815,0.6431818181818182,0.6306895380434783,0.6312960679764517,0.2629270115613376,0.6549337635869564,0.5171461699823916,0.27893013669173966,0.19866492138342864,0.12377145833539903,0.1992474931883364
E2,depresjon.xgboost.internal,subject,55,0.41818181818181815,0.6909090909090909,0.6793478260869565,0.6803418803418804,0.36115755925730764,0.6657608695652173,0.536429485658184,0.2689780117793656,0.22536690966606845,0.11456357381787678,0.2721027399787
E2,psykose-to-depresjon.logreg.external,window,312,0.5897435897435898,0.6346153846153846,0.6224524456521738,0.6224524456521738,0.24490489130434784,0.6710258152173914,0.7082651411646911,0.2465595877010425,0.35952400138078183,0.4245911285106743,0.20900491785247105
E2,psykose-to-depresjon.logreg.external,subject,39,0.5897435897435898,0.6410256410256411,0.6290760869565217,0.6290760869565217,0.25815217391304346,0.6684782608695652,0.7096599831563273,0.23537381334703303,0.4379420233091061,0.39633274384775385,0.21814626642951712
E2,psykose-to-depresjon.rf.external,window,312,0.5897435897435898,0.6538461538461539,0.6363790760869565,0.637630662020906,0.2766621625582118,0.7058423913043479,0.7771653865305452,0.2158173693547807,0.6178456558666824,0.08271004831224057,0.13587776181663233
E2,psykose-to-depresjon.rf.external,subject,39,0.5897435897435898,0.6666666666666666,0.6413043478260869,0.6432090077410275,0.29488391230979427,0.6929347826086957,0.7804318916978105,0.21116531966086627,0.7030412866244674,0.08062280350361156,0.17290254478998093
E2,psykose-to-depresjon.xgboost.external,window,312,0.5897435897435898,0.6282051282051282,0.6027513586956521,0.6034188034188034,0.21342481935316943,0.6746348505434783,0.7470277772758951,0.29705079958386854,0.1972653850209431,-0.6130903218634562,0.2711816400841025
E2,psykose-to-depresjon.xgboost.external,subject,39,0.5897435897435898,0.6153846153846154,0.5883152173913043,0.5883180858550316,0.18430244519362143,0.6956521739130435,0.8008282058542435,0.2852386095438267,0.252991410287878,-0.5343346133755421,0.26730895578923075
E2,psykose.logreg.internal,window,304,0.5789473684210527,0.6907894736842105,0.6786221590909092,0.6799283154121865,0.36085033635889735,0.7294477982954546,0.793249752007271,0.22712292380185098,0.3437792924746445,0.1183585970368456,0.12054339415767101
E2,psykose.logreg.internal,subject,38,0.5789473684210527,0.7368421052631579,0.7215909090909092,0.7246376811594203,0.45361105256925455,0.71875,0.7892530105548191,0.21680925020670969,0.40447200393938487,0.11060585477077978,0.2343309592070573
