train,test,model,arm,n_subjects_eval,n_windows_eval,train_events,n_predictors,epv,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,psykose,majority,internal,39,312,16,28,0.5714285714285714,312.0,0.0,0.5897435897435898,0.0,0.5897435897435898,0.0,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.44972826086956524,6.206335383118183e-17,0.5643255295429208,0.0,0.24338376886889987,3.1031676915590914e-17,-3.833839056956541,4.136232691952992e-15,0.0005345009052181897,1.9299864569908576e-17,0.04644851116625309,0.0,39.0,0.0,0.5897435897435898,0.0,0.5897435897435898,0.0,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.44972826086956524,6.206335383118183e-17,0.5643255295429208,0.0,0.24338376886889987,3.1031676915590914e-17,-3.83371412939675,5.811463456374355e-15,0.000534500905218152,5.590253012130426e-17,0.04644851116625307,4.347204570675246e-17,39.0,0.0,0.21681584179778404,0.5542533660155478,0.25642847599181334,0.538764281853082,0.4358974358974359,0.717948717948718,0.4583333333333333,0.6956521739130435,0.30357142857142855,0.417910447761194,0.3142857142857143,0.41025641025641024,0.21589876743598777,0.2667986845832599,0.22340743648983083,0.26700810828618377,-48.796207131417205,11.975059644191482,-42.0746703594104,8.052296968633378
depresjon,psykose,majority,external,38,304,16,28,0.5714285714285714,304.0,0.0,0.5789473684210527,0.0,0.5789473684210527,0.0,0.5,0.0,0.36666666666666664,0.0,0.0,0.0,0.5,0.0,0.5789473684210527,0.0,0.2438838714142358,3.1031676915590914e-17,0.10210270453066168,0.0,-0.044451762570833886,0.0,0.010796221322537103,0.0,38.0,0.0,0.5789473684210527,0.0,0.5789473684210527,0.0,0.5,0.0,0.36666666666666664,0.0,0.0,0.0,0.5,0.0,0.5789473684210527,0.0,0.2438838714142358,3.1031676915590914e-17,0.10210269613572134,0.0,-0.04445176257083387,0.0,0.010796221322537325,0.0,38.0,0.0,0.5,0.5,0.5,0.5,0.42105263157894735,0.6842105263157895,0.4770523478330062,0.6956521739130435,0.2962962962962963,0.40625,0.32297560152119736,0.41025641025641024,0.21554379044257585,0.26277725872867574,0.22293685504387836,0.2620487396950168,-0.10210270453066173,0.2879466509099576,-0.028566654892892444,0.2650958062401405
depresjon,psykose,logreg,internal,39,312,16,28,0.5714285714285714,312.0,0.0,0.5897435897435898,0.0,0.6121794871794871,0.040032038451271804,0.6003396739130433,0.03690455849444399,0.5996576082640654,0.03801351070366835,0.20127130240844301,0.07452796156186672,0.6380434782608695,0.03945801536884714,0.6990812901888033,0.031985486301080425,0.2621812632819252,0.024816098490965856,0.2874144455679165,0.06358369702123533,0.33139862161802436,0.1528498121708943,0.1983643773936874,0.04697327664041708,39.0,0.0,0.5897435897435898,0.0,0.6307692307692309,0.061751767070729706,0.6146739130434782,0.05622275385079518,0.6154608846232941,0.05770901272689591,0.23387190392631405,0.11721184247065543,0.6413043478260869,0.037110055118879534,0.7108771711050126,0.036091382845402066,0.2526925323952805,0.024688774773766194,0.3262749946084571,0.07685147502361007,0.31259810480249245,0.14376009895584813,0.2409165110098594,0.03254661982049844,39.0,0.0,0.4096643993761868,0.7754047223641805,0.48084636740597186,0.7840110060563396,0.4770922489039709,0.7564102564102564,0.5229967591817597,0.7587869327989866,0.46937125635643445,0.7558161679743342,0.5126452847958864,0.7522898172121457,0.1836639314956794,0.34133284612633397,0.18535386727598324,0.3062513032532796,-0.11546404664223177,0.7413172332725397,0.03764205127670068,0.8598202907432472
depresjon,psykose,logreg,external,38,304,16,28,0.5714285714285714,304.0,0.0,0.5789473684210527,0.0,0.7006578947368421,0.0,0.6807528409090908,0.0,0.6833876967095851,0.0,0.3753662818475932,0.0,0.77099609375,0.0,0.7827729909558948,0.0,0.2037981801096051,0.0,0.4863316977361186,6.206335383118183e-17,-0.09332663928645522,0.0,0.12708900961814984,0.0,38.0,0.0,0.5789473684210527,0.0,0.7105263157894737,0.0,0.6903409090909092,0.0,0.6933235509904623,0.0,0.39617930531268536,0.0,0.7698863636363636,0.0,0.8154874307213877,0.0,0.19729797957806725,0.0,0.57162910723629,0.0,-0.08875634627990986,0.0,0.12634818383919075,0.0,38.0,0.0,0.5829752038710562,0.8846947755126521,0.6187650400023114,0.8763092102418019,0.5580329813166296,0.8092105263157895,0.5994252120376126,0.8083453429569235,0.5459115869364594,0.8022626919577184,0.544735065198888,0.7854871215172504,0.13579431339024756,0.31144718534329824,0.1390206657360305,0.25903489364114646,0.13952411408512633,0.8092089543299961,0.3006546529935726,0.9123251278368766
depresjon,psykose,rf,internal,39,312,16,28,0.5714285714285714,312.0,0.0,0.5897435897435898,0.0,0.6660256410256411,0.05224457290249992,0.6393342391304347,0.05904645043441546,0.6398098708156365,0.06361773569391653,0.2907624010156589,0.12045208834458063,0.7092815896739131,0.07247175849867897,0.7784560086921031,0.04152433160460827,0.221303811446806,0.02945959696784785,0.4956450831570033,0.17975603144440938,-0.16828139726715693,0.08302324711505145,0.11982572104864535,0.021428328818101035,39.0,0.0,0.5897435897435898,0.0,0.6717948717948719,0.06880209161537813,0.6418478260869565,0.0765200214419369,0.6418113553113554,0.08166235488372256,0.29986121482078426,0.15646512946105853,0.7184782608695652,0.07895880664908769,0.795962676892163,0.04470990456920374,0.21656849405736747,0.029623899372052745,0.5740140385094002,0.21241617748184727,-0.16376781833775206,0.08106541238970483,0.156749738860895,0.036754988760043864,39.0,0.0,0.5509475794026075,0.8604920481404409,0.6238691736713468,0.8869324392453338,0.5253606186239586,0.7980769230769231,0.5348692108053361,0.7601814135840939,0.5086072731187588,0.7791481612249296,0.5089285714285714,0.7642486361247663,0.15510060590437302,0.29342991820903985,0.15707949772037405,0.2676394601354256,0.00840679653229472,1.557609778986757,0.2090020575039757,1.892460557640574
depresjon,psykose,rf,external,38,304,16,28,0.5714285714285714,304.0,0.0,0.5789473684210527,0.0,0.6190789473684211,0.005884389414473133,0.5892045454545455,0.007395406669346235,0.5860277604118354,0.008519512936360467,0.19279048649337013,0.01436491992221694,0.6604936079545455,0.007200539234555553,0.733432990203229,0.007964249697615578,0.24345631167330245,0.0023054257050562927,0.39539577097897294,0.009998552428946383,-0.4252494705669233,0.01732109624406904,0.1633831608640612,0.006673711441610406,38.0,0.0,0.5789473684210527,0.0,0.5894736842105263,0.01441375151329383,0.5619318181818183,0.018993766648234982,0.5582310944130459,0.022409244889716406,0.13115641707631862,0.03719560531028733,0.6585227272727272,0.009292856382838695,0.749087073965492,0.005888562381058835,0.23818676144900613,0.002372529580507356,0.4637023647114867,0.008641611442324377,-0.4101488348800052,0.01680670527799513,0.23029139041277685,0.019709059760662995,38.0,0.0,0.4716830580011434,0.8134875977346162,0.5135998226430936,0.7861507905042621,0.46440013060591023,0.7302631578947368,0.4782608695652174,0.72,0.46519590389726934,0.7235827753537588,0.4732795379667521,0.7227895176029359,0.1750982543697898,0.3405082327461442,0.17692290375816097,0.30114573912766185,0.0008840817734789377,0.8497261033215208,0.17990175418601873,0.8002023587320312
depresjon,psykose,xgboost,internal,39,312,16,28,0.5714285714285714,312.0,0.0,0.5897435897435898,0.0,0.6724358974358975,0.06686361441233483,0.6507133152173912,0.07282487099614533,0.6517021508101541,0.07486767922843987,0.3097557657468125,0.1469179438920817,0.7221212635869565,0.0786084429493563,0.8036570283283361,0.0494293934368057,0.256469295619485,0.05372525984515579,0.28546063174070063,0.10890564781933773,-0.5007624225956937,0.2139819769227714,0.21305720042243287,0.061359157621723955,39.0,0.0,0.5897435897435898,0.0,0.6820512820512821,0.08426500884694862,0.660054347826087,0.09274727619956588,0.6605289872926321,0.0970153600445359,0.3279212198458816,0.18814928499745398,0.7331521739130434,0.08316726916122319,0.8218394233291809,0.04274273001398862,0.2409758435587926,0.05382892830719059,0.348523635545081,0.1287170953433785,-0.4301245092320383,0.18563292586602606,0.23410382402153349,0.07054863634444683,39.0,0.0,0.539233173120477,0.8606894832535216,0.6060136596028762,0.8608989870882607,0.4864582439406057,0.7596153846153846,0.517369514676627,0.7403996452357344,0.49700640515495675,0.758681457758842,0.4763956799544768,0.7333333333333334,0.15722532607768372,0.32978211422074977,0.1482099685898408,0.2829190154719362,0.05637506434011064,0.717683939816793,0.1842160663452381,0.8071362302499479
depresjon,psykose,xgboost,external,38,304,16,28,0.5714285714285714,304.0,0.0,0.5789473684210527,0.0,0.6236842105263157,0.012439256842887532,0.5925426136363636,0.013416059708056398,0.5888651914795444,0.014644838052283548,0.20170855611446173,0.028270003845481565,0.6636008522727272,0.005773805379716155,0.6942812948249657,0.0054225933113028904,0.29835208002247793,0.007036362619963314,0.18976789451581083,0.00970739518013687,-1.4205877139594318,0.06584260411629163,0.28058343646262074,0.010127386935753466,38.0,0.0,0.5789473684210527,0.0,0.5894736842105263,0.01441375151329383,0.5602272727272728,0.01244823994329922,0.556235827664399,0.01179901200974853,0.12950864784286226,0.028587864284711526,0.6869318181818181,0.004668089978737225,0.7592937620095253,0.0048256937212884125,0.28178924073897693,0.006253575117851436,0.244764717852541,0.009255413645104061,-1.1979529901903256,0.05588621037613562,0.2940579090242911,0.020534409816124526,38.0,0.0,0.4777907331516051,0.8215917441508376,0.5645936910195269,0.821581134513577,0.48026315789473684,0.7367602670900902,0.4782608695652174,0.7083333333333334,0.46801373661073586,0.7340168611254262,0.4545473571657407,0.6899719073981464,0.20964616747437204,0.42705356013875023,0.1987557855799693,0.3626316263310203,-0.01760845627217261,0.3802285351989426,0.08177733382136325,0.42762756696021054
psykose,depresjon,majority,internal,38,304,16,28,0.5714285714285714,304.0,0.0,0.5789473684210527,0.0,0.5789473684210527,0.0,0.5,0.0,0.36666666666666664,0.0,0.0,0.0,0.44886363636363635,0.0,0.5524140930839495,0.0,0.24511066080045762,1.3877787807814457e-17,-3.7417814989391096,6.829451004377462e-15,0.000464604447849251,2.3412570216697423e-17,0.00011318619128468655,6.080941952039208e-17,38.0,0.0,0.5789473684210527,0.0,0.5789473684210527,0.0,0.5,0.0,0.36666666666666664,0.0,0.0,0.0,0.44886363636363635,0.0,0.5524140930839495,0.0,0.24511066080045754,3.925231146709438e-17,-3.741648184776299,1.0855233655586997e-14,0.0004646044478493111,4.0338222291692495e-17,0.00011318619128453111,0.0,38.0,0.0,0.17469034831351554,0.5292573151448446,0.19687361063792921,0.4693683782470672,0.42105263157894735,0.6842105263157895,0.4770523478330062,0.6956521739130435,0.2962962962962963,0.40625,0.32297560152119736,0.41025641025641024,0.22354402729860803,0.2700289541674396,0.22584486845502386,0.2618574053561572,-52.095972428844824,15.440828879483314,-59.91577785933115,4.571407956151719
psykose,depresjon,majority,external,39,312,16,28,0.5714285714285714,312.0,0.0,0.5897435897435898,0.0,0.5897435897435898,0.0,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.5,0.0,0.5897435897435898,0.0,0.24206264649477954,3.1031676915590914e-17,0.1049122907169773,0.0,0.044451762570833525,0.0,0.010796221322537103,0.0,39.0,0.0,0.5897435897435898,0.0,0.5897435897435898,0.0,0.5,0.0,0.3709677419354839,0.0,0.0,0.0,0.5,0.0,0.5897435897435898,0.0,0.24206264649477935,3.1031676915590914e-17,0.10491228205874407,0.0,0.04445176257083351,0.0,0.010796221322537325,0.0,39.0,0.0,0.5,0.5,0.5,0.5,0.4358974358974359,0.717948717948718,0.4583333333333333,0.6956521739130435,0.30357142857142855,0.417910447761194,0.3142857142857143,0.41025641025641024,0.2104251828716504,0.2582569784785852,0.22534023846802362,0.2628116343490305,-0.014830338996130744,0.3835382990412689,-0.048296180231878504,0.23902107229111075
